title,year,budget,gross,duration,classification,votes,rating,language,country,cast_total_facebook_likes,action,adventure,fantasy,sci_fi,thriller,romance,comedy,other,drama,crime
Turbulence ,1997,71000000,11466088,100,15,8983,4.7,English,USA,3952,1,0,0,0,1,0,0,0,0,0
Imagine That ,2009,55000000,16088610,107,PG,10417,5.6,English,USA,3742,0,0,1,0,0,0,1,1,1,0
Muppets Most Wanted ,2014,50000000,51178893,119,PG,24285,6.4,English,USA,6089,0,1,0,0,0,0,1,1,0,1
Thunderbirds ,2004,57000000,6768055,95,PG,11148,4.2,English,UK,2260,1,1,0,1,0,0,1,1,0,0
Burlesque ,2010,55000000,39440655,119,12A,61680,6.4,English,USA,4315,0,0,0,0,0,1,0,1,1,0
A Very Long Engagement ,2004,47000000,6167817,133,15,62607,7.7,French,France,405,0,0,0,0,0,1,0,1,1,0
Blade II ,2002,54000000,81645152,117,15,158267,6.7,English,USA,15371,1,0,0,1,1,0,0,1,0,0
Seven Pounds ,2008,55000000,69951824,123,12A,232710,7.7,English,USA,14727,0,0,0,0,0,1,0,0,1,0
Bullet to the Head ,2012,55000000,9483821,92,15,39247,5.7,English,USA,25418,1,0,0,0,1,0,0,0,0,0
The Godfather: Part III ,1990,54000000,66676062,170,15,267980,7.6,English,USA,16949,0,0,0,0,0,0,0,0,1,1
Elizabethtown ,2005,57000000,26838389,123,12A,58658,6.4,English,USA,12700,0,0,0,0,0,1,1,0,1,0
"You, Me and Dupree ",2006,54000000,75604320,110,12A,68417,5.6,English,USA,847,0,0,0,0,0,1,1,0,0,0
Superman II ,1980,54000000,108200000,116,PG,76331,6.8,English,USA,2908,1,1,0,1,0,1,0,0,0,0
Gigli ,2003,54000000,5660084,121,15,41620,2.4,English,USA,286,0,0,0,0,0,1,1,0,0,1
All the King's Men ,2006,55000000,7221458,128,12A,20740,6.2,English,Germany,27614,0,0,0,0,1,0,0,0,1,0
Shaft ,2000,46000000,70327868,99,15,58416,5.9,English,Germany,26527,1,0,0,0,1,0,0,0,0,1
Anastasia ,1997,50000000,58297830,94,U,86347,7.1,English,USA,6017,0,1,1,0,0,1,0,1,1,0
Moulin Rouge! ,2001,52500000,57386369,127,12A,224013,7.6,English,USA,2601,0,0,0,0,0,1,0,1,1,0
Domestic Disturbance ,2001,53000000,45207112,89,12A,21283,5.5,English,USA,13390,0,0,0,0,1,0,0,1,0,1
Black Mass ,2015,53000000,62563543,123,15,115216,7,English,USA,63769,0,0,0,0,0,0,0,1,1,1
Flags of Our Fathers ,2006,90000000,33574332,135,15,101221,7.1,English,USA,24468,0,0,0,0,0,0,0,1,1,0
Law Abiding Citizen ,2009,50000000,73343413,118,15,217480,7.4,English,USA,22517,0,0,0,0,1,0,0,0,1,1
Grindhouse ,2007,53000000,25031037,189,15,155496,7.6,English,USA,22186,1,0,0,0,1,0,0,1,0,0
Beloved ,1998,55000000,22843047,172,15,6082,5.9,English,USA,2397,0,0,0,0,0,0,0,1,1,0
Lucky You ,2007,55000000,5755286,124,12A,18310,5.9,English,USA,26334,0,0,0,0,0,1,0,1,1,0
Catch Me If You Can ,2002,52000000,164435221,141,12A,525801,8,English,USA,48153,0,0,0,0,0,0,0,1,1,1
Zero Dark Thirty ,2012,40000000,95720716,157,15,216032,7.4,English,USA,2759,0,0,0,0,1,0,0,1,1,0
The Break-Up ,2006,52000000,118683135,106,12A,102167,5.8,English,USA,8315,0,0,0,0,0,1,1,0,1,0
Mamma Mia! ,2008,52000000,143704210,108,12A,145974,6.3,English,USA,26002,0,0,0,0,0,1,1,1,0,0
Valentine's Day ,2010,52000000,110476776,125,12A,95437,5.7,English,USA,45696,0,0,0,0,0,1,1,0,0,0
The Dukes of Hazzard ,2005,50000000,80270227,107,12A,66382,5.1,English,USA,2297,1,1,0,0,0,0,1,0,0,0
The Thin Red Line ,1998,52000000,36385763,215,15,138941,7.6,English,USA,1937,0,0,0,0,0,0,0,1,1,0
The Change-Up ,2011,52000000,37035845,118,15,136680,6.4,English,USA,28045,0,0,1,0,0,0,1,0,0,0
Man on the Moon ,1999,52000000,34580635,118,15,100743,7.4,English,UK,209,0,0,0,0,0,0,1,1,1,0
Casino ,1995,52000000,42438300,178,15,333542,8.2,English,USA,24183,0,0,0,0,0,0,0,1,1,1
From Paris with Love ,2010,52000000,23324666,92,15,97775,6.5,English,France,488,1,0,0,0,1,0,0,0,0,0
Bulletproof Monk ,2003,52000000,23020488,104,12A,42324,5.5,English,USA,2422,1,0,1,0,0,0,1,0,0,0
"Me, Myself & Irene ",2000,51000000,90567722,116,15,185878,6.5,English,USA,1711,0,0,0,0,0,0,1,0,0,0
Barnyard ,2006,51000000,72601713,90,PG,21396,5.6,English,Germany,2055,0,0,0,0,0,0,1,1,0,0
The Twilight Saga: New Moon ,2009,50000000,296623634,130,12A,220758,4.6,English,USA,64040,0,1,1,0,0,1,0,0,1,0
Shrek ,2001,60000000,267652016,90,PG,467113,7.9,English,USA,275,0,1,1,0,0,0,1,1,0,0
The Adjustment Bureau ,2011,50200000,62453315,106,12A,200035,7.1,English,USA,14607,0,0,0,1,1,1,0,0,0,0
Robin Hood: Prince of Thieves ,1991,48000000,165500000,155,12A,145257,6.9,English,USA,38518,1,1,0,0,0,1,0,0,1,0
Jerry Maguire ,1996,50000000,153620822,139,15,189923,7.3,English,USA,12182,0,0,0,0,0,1,1,1,1,0
Ted ,2012,50000000,218628680,112,15,471644,7,English,USA,21773,0,0,1,0,0,0,1,0,0,0
As Good as It Gets ,1997,50000000,147637474,139,12A,224671,7.7,English,USA,1474,0,0,0,0,0,1,1,0,1,0
Patch Adams ,1998,50000000,135014968,115,12A,80580,6.7,English,USA,74382,0,0,0,0,0,1,1,1,1,0
Anchorman 2: The Legend Continues ,2013,50000000,2175312,143,12A,131227,6.3,English,USA,28176,0,0,0,0,0,0,1,0,0,0
Mr. Deeds ,2002,50000000,126203320,96,12A,110432,5.8,English,USA,26826,0,0,0,0,0,1,1,0,0,0
Super 8 ,2011,50000000,126975169,112,12A,287822,7.1,English,USA,3388,0,0,0,1,1,0,0,1,0,0
Erin Brockovich ,2000,52000000,125548685,131,15,135246,7.3,English,USA,10003,0,0,0,0,0,0,0,1,1,0
How to Lose a Guy in 10 Days ,2003,50000000,105807520,116,12A,156717,6.4,English,USA,14087,0,0,0,0,0,1,1,0,0,0
22 Jump Street ,2014,50000000,191616238,112,15,258186,7.1,English,USA,19428,1,0,0,0,0,0,1,0,0,1
Interview with the Vampire: The Vampire Chronicles ,1994,60000000,105264608,123,15,239752,7.6,English,USA,25697,0,0,1,0,0,0,0,1,1,0
Yes Man ,2008,70000000,97680195,104,12A,271691,6.8,English,USA,29505,0,0,0,0,0,1,1,0,0,0
Central Intelligence ,2016,50000000,126088877,107,12A,33354,6.6,English,USA,14569,1,0,0,0,0,0,1,0,0,1
Stepmom ,1998,50000000,91030827,124,12A,46482,6.7,English,USA,9988,0,0,0,0,0,0,1,0,1,0
Daddy's Home ,2015,50000000,150315155,96,12A,54010,6.1,English,USA,10886,0,0,0,0,0,0,1,1,0,0
Into the Woods ,2014,50000000,127997349,125,PG,101178,6,English,USA,62837,0,1,1,0,0,0,1,1,1,0
Inside Man ,2006,45000000,88504640,129,15,273108,7.6,English,USA,19148,0,0,0,0,1,0,0,1,1,1
Payback ,1999,50000000,81517441,90,15,111368,7.1,English,USA,3148,1,0,0,0,1,0,0,0,1,1
Congo ,1995,50000000,81022333,109,12A,34471,5,English,USA,1761,1,1,0,1,0,0,0,1,0,0
Knowing ,2009,50000000,79948113,121,12A,186879,6.2,English,USA,13421,0,0,0,1,1,0,0,1,1,0
Failure to Launch ,2006,50000000,88658172,95,12A,58412,5.6,English,USA,37967,0,0,0,0,0,1,1,0,0,0
"Crazy, Stupid, Love. ",2011,50000000,84244877,118,12A,375456,7.4,English,USA,57426,0,0,0,0,0,1,1,0,1,0
Garfield ,2004,35000000,75367693,80,PG,58961,5,English,USA,13430,0,0,1,0,0,0,1,1,0,0
Christmas with the Kranks ,2004,60000000,73701902,99,PG,27548,5.2,English,USA,6729,0,0,0,0,0,0,1,1,0,0
Moneyball ,2011,50000000,75605492,133,12A,283563,7.6,English,USA,53094,0,0,0,0,0,0,0,1,1,0
Outbreak ,1995,50000000,67823573,127,15,91176,6.6,English,USA,30383,1,0,0,0,1,0,0,0,1,0
Non-Stop ,2014,50000000,91439400,106,12A,200647,7,English,UK,16967,1,0,0,0,1,0,0,1,0,0
Race to Witch Mountain ,2009,65000000,67128202,98,PG,43328,5.7,English,USA,14007,1,1,1,1,1,0,0,1,0,0
V for Vendetta ,2005,54000000,70496802,132,15,791783,8.2,English,USA,22417,1,0,0,0,1,0,0,0,1,0
Shanghai Knights ,2003,50000000,60470220,114,12A,81444,6.2,English,USA,428,1,1,0,0,0,0,1,0,0,0
Curious George ,2006,50000000,58336565,78,U,12845,6.6,English,USA,11124,0,1,0,0,0,0,1,1,0,0
Herbie Fully Loaded ,2005,50000000,66002004,101,U,36431,4.7,English,USA,2177,0,1,1,0,0,1,1,1,0,0
Don't Say a Word ,2001,50000000,54997476,113,15,40362,6.3,English,USA,3341,0,0,0,0,1,0,0,1,1,1
Hansel & Gretel: Witch Hunters ,2013,50000000,55682070,98,15,159868,6.1,English,Germany,11946,1,0,1,0,0,0,0,1,0,0
Unfaithful ,2002,50000000,52752475,124,15,63067,6.7,English,USA,2583,0,0,0,0,1,0,0,0,1,0
I Am Number Four ,2011,60000000,55092830,109,12A,195043,6.1,English,USA,15608,1,1,0,1,1,0,0,0,0,0
Syriana ,2005,50000000,50815288,128,15,109188,7,English,USA,14747,0,0,0,0,1,0,0,0,1,0
13 Hours ,2016,50000000,52822418,144,15,47764,7.4,English,USA,3580,1,0,0,0,1,0,0,1,1,0
The Book of Life ,2014,50000000,50150619,95,PG,45580,7.3,English,USA,19513,0,1,1,0,0,1,1,1,0,0
Firewall ,2006,50000000,48745150,105,12A,50170,5.8,English,USA,101383,0,0,0,0,1,0,0,0,0,1
Absolute Power ,1997,50000000,50007168,121,15,39529,6.7,English,USA,19139,1,0,0,0,1,0,0,0,1,1
G.I. Jane ,1997,50000000,48154732,125,15,60326,5.8,English,USA,15569,1,0,0,0,0,0,0,1,1,0
The Game ,1997,50000000,48265581,129,15,261069,7.8,English,USA,1397,0,0,0,0,1,0,0,1,1,0
Silent Hill ,2006,50000000,46982632,132,15,172792,6.6,English,Canada,1933,0,1,0,0,0,0,0,1,0,0
The Replacements ,2000,50000000,44737059,118,12A,48322,6.5,English,USA,24024,0,0,0,0,0,0,1,1,0,0
American Reunion ,2012,50000000,56724080,113,15,172112,6.7,English,USA,8398,0,0,0,0,0,0,1,0,0,0
The Negotiator ,1998,50000000,44484065,140,15,107227,7.3,English,Germany,20152,1,0,0,0,1,0,0,1,1,1
Into the Storm ,2014,50000000,47553512,89,12A,54101,5.8,English,USA,1367,1,0,0,0,1,0,0,0,0,0
Beverly Hills Cop III ,1994,55000000,42610000,104,15,60293,5.5,English,USA,1093,1,0,0,0,1,0,1,0,0,1
Gremlins 2: The New Batch ,1990,50000000,41482207,106,12A,68428,6.3,English,USA,19610,0,0,1,0,0,0,1,1,0,0
The Judge ,2014,50000000,47105085,141,15,136973,7.4,English,USA,30183,0,0,0,0,0,0,0,0,1,1
The Peacemaker ,1997,50000000,41256277,124,15,46451,5.9,English,USA,1289,1,0,0,0,1,0,0,0,0,0
Resident Evil: Apocalypse ,2004,45000000,50740078,98,15,151580,6.2,English,Germany,16791,1,0,0,1,1,0,0,1,0,0
Bridget Jones: The Edge of Reason ,2004,40000000,40203020,108,15,74315,5.9,English,UK,15634,0,0,0,0,0,1,1,0,1,0
Out of Time ,2003,50000000,40905277,114,15,45895,6.5,English,USA,19739,0,0,0,0,1,1,0,0,1,1
On Deadly Ground ,1994,50000000,38590500,101,15,17997,4.4,English,USA,1860,1,1,0,0,1,0,0,0,0,0
The Adventures of Sharkboy and Lavagirl 3-D ,2005,50000000,39177541,93,PG,20310,3.5,English,USA,14899,1,1,1,0,0,0,0,1,0,0
The Beach ,2000,50000000,39778599,119,15,176169,6.6,English,USA,29461,0,1,0,0,1,0,0,0,1,0
Raising Helen ,2004,50000000,37486138,119,12A,30890,6,English,USA,2052,0,0,0,0,0,1,1,0,1,0
Ninja Assassin ,2009,40000000,38105077,99,15,58349,6.4,English,USA,701,1,0,0,0,1,0,0,0,0,1
For Love of the Game ,1999,50000000,35168395,137,12A,26034,6.5,English,USA,25469,0,0,0,0,0,1,0,1,1,0
Striptease ,1996,40000000,32800000,117,15,34896,4.3,English,USA,3016,0,0,0,0,1,0,1,0,1,1
Marmaduke ,2010,50000000,33643461,87,PG,11257,4.2,English,USA,20061,0,0,0,0,0,0,1,1,0,0
Hereafter ,2010,50000000,32741596,129,12A,80140,6.5,English,USA,14344,0,0,1,0,0,0,0,0,1,0
Murder by Numbers ,2002,50000000,31874869,115,15,43574,6.1,English,USA,34606,0,0,0,0,1,0,0,1,0,1
Assassins ,1995,50000000,30306268,132,15,62981,6.3,English,France,58528,1,0,0,0,1,0,0,0,0,1
Hannibal Rising ,2007,50000000,27667947,131,15,86374,6.2,English,UK,1344,0,0,0,0,1,0,0,0,1,1
The Story of Us ,1999,50000000,27067160,95,15,18404,5.9,English,USA,14706,0,0,0,0,0,1,1,0,1,0
The Host ,2013,40000000,26616999,125,12A,92461,5.9,English,USA,1300,1,1,0,1,1,1,0,0,0,0
Basic ,2003,50000000,26536120,98,15,49926,6.5,English,Germany,3357,1,0,0,0,1,0,0,1,1,1
Blood Work ,2002,50000000,26199517,110,15,34356,6.4,English,USA,18635,1,0,0,0,1,0,0,1,1,1
The International ,2009,50000000,25450527,118,15,80196,6.5,English,USA,7654,1,0,0,0,1,0,0,1,1,1
Escape from L.A. ,1996,50000000,25407250,101,15,54021,5.7,English,USA,15935,1,1,0,1,1,0,0,0,0,0
The Iron Giant ,1999,70000000,23159305,90,PG,128455,8,English,USA,16358,1,1,0,1,0,0,1,1,1,0
The Life Aquatic with Steve Zissou ,2004,50000000,24006726,119,15,139535,7.3,English,USA,15757,0,1,0,0,0,0,1,0,1,0
Free State of Jones ,2016,50000000,20389967,139,15,3077,6.7,English,USA,12786,1,0,0,0,0,0,0,1,1,0
The Life of David Gale ,2003,50000000,19593740,130,15,88270,7.5,English,USA,32637,0,0,0,0,1,0,0,0,1,1
Man of the House ,2005,40000000,19118247,100,12A,19829,5.4,English,USA,6171,1,0,0,0,0,0,1,0,0,0
Run All Night ,2015,50000000,26442251,114,15,76010,6.6,English,USA,16992,1,0,0,0,1,0,0,0,1,1
Eastern Promises ,2007,25000000,17114882,96,15,189249,7.7,English,USA,17211,0,0,0,0,1,0,0,1,0,1
Into the Blue ,2005,50000000,18472363,110,12A,63599,5.8,English,USA,25049,1,1,0,0,1,0,0,0,0,1
The Messenger: The Story of Joan of Arc ,1999,390000000,14131298,158,15,55889,6.4,English,France,144,0,1,0,0,0,0,0,1,1,0
Your Highness ,2011,49900000,21557240,102,15,85237,5.6,English,USA,45202,0,1,1,0,0,0,1,0,0,0
Dream House ,2011,55000000,21283440,84,12A,46239,6,English,USA,8018,0,0,0,0,1,0,0,1,1,0
Mad City ,1997,50000000,10556196,115,12A,16562,6.2,English,USA,2606,0,0,0,0,1,0,0,0,1,1
Baby's Day Out ,1994,50000000,16671505,99,PG,33186,5.9,English,USA,2949,0,1,0,0,0,0,1,1,1,1
The Scarlet Letter ,1995,50000000,10400000,135,15,12037,5.1,English,USA,15820,0,0,0,0,0,1,0,0,1,0
Fair Game ,2010,22000000,9528092,108,12A,38513,6.8,English,USA,10191,0,0,0,0,1,0,0,1,1,0
Domino ,2005,50000000,10137232,127,15,58015,6,English,France,5702,1,0,0,0,1,0,0,1,1,1
Jade ,1995,50000000,9795017,107,15,9227,5.1,English,USA,5461,0,0,0,0,1,0,0,0,1,1
Gamer ,2009,50000000,20488579,95,15,113483,5.8,English,USA,29926,1,0,0,1,1,0,0,0,0,0
Beautiful Creatures ,2013,60000000,19445217,124,12A,67796,6.2,English,USA,3580,0,0,1,0,0,1,0,0,1,0
Death to Smoochy ,2002,55000000,8355815,109,15,34730,6.4,English,UK,52885,0,0,0,0,1,0,1,0,1,1
Zoolander 2 ,2016,50000000,28837115,102,12A,34964,4.8,English,USA,24107,0,0,0,0,0,0,1,0,0,0
The Big Bounce ,2004,50000000,6471394,88,12A,15880,4.9,English,USA,11972,0,0,0,0,0,0,1,0,0,1
What Planet Are You From? ,2000,50000000,6291602,87,15,8070,5.6,English,USA,3954,0,0,0,1,0,0,1,0,0,0
Drive Angry ,2011,50000000,10706786,104,15,81800,5.5,English,USA,16481,1,0,1,0,1,0,0,0,0,0
Street Fighter: The Legend of Chun-Li ,2009,18000000,8742261,96,12A,19824,3.7,English,Canada,1385,1,0,0,0,1,0,0,1,1,1
The One ,2001,49000000,43905746,85,12A,77684,5.9,English,USA,32831,1,0,0,1,1,0,0,0,0,0
The Adventures of Ford Fairlane ,1990,40000000,21413502,104,15,14429,6.3,English,USA,2795,1,1,0,0,0,0,1,1,0,1
Traffic ,2000,48000000,124107476,190,15,170684,7.6,English,USA,1418,0,0,0,0,1,0,0,0,1,1
Indiana Jones and the Last Crusade ,1989,48000000,197171806,127,12A,515306,8.3,English,USA,12884,1,1,1,0,0,0,0,0,0,0
Chappie ,2015,49000000,31569268,120,15,172965,6.9,English,USA,23051,1,0,0,1,1,0,0,0,1,1
The Bone Collector ,1999,48000000,66488090,118,15,120202,6.7,English,USA,29748,0,0,0,0,1,0,0,1,1,1
Panic Room ,2002,48000000,95308367,112,15,206104,6.8,English,USA,18141,0,0,0,0,1,0,0,0,1,1
Three Kings ,1999,48000000,60652036,114,15,137854,7.1,English,USA,3743,1,1,0,0,0,0,1,1,1,0
Rat Race ,2001,48000000,56607223,112,12A,93367,6.4,English,Canada,1823,0,1,0,0,0,0,1,0,0,0
K-PAX ,2001,48000000,50173190,120,12A,148490,7.4,English,USA,33615,0,0,0,1,0,0,0,1,1,0
Kate & Leopold ,2001,48000000,47095453,123,12A,64595,6.4,English,USA,22209,0,0,1,0,0,1,1,0,0,0
Bedazzled ,2000,48000000,37879996,93,12A,81888,6,English,USA,5390,0,0,1,0,0,1,1,0,0,0
The Cotton Club ,1984,58000000,25900000,123,15,12771,6.5,English,USA,18793,0,0,0,0,0,0,0,1,1,1
3:10 to Yuma ,2007,55000000,53574088,122,15,237872,7.8,English,USA,33548,0,1,0,0,0,0,0,1,1,1
Taken 3 ,2014,48000000,89253340,115,12A,133436,6,English,France,16967,1,0,0,0,1,0,0,0,0,0
Out of Sight ,1998,48000000,37339525,123,15,71708,7,English,USA,3768,0,0,0,0,1,1,0,0,1,1
The Cable Guy ,1996,47000000,60154431,96,12A,122347,6,English,USA,3718,0,0,0,0,1,0,1,0,1,0
Dick Tracy ,1990,100000000,103738726,105,PG,47819,6.1,English,USA,2096,1,0,0,0,1,1,1,1,0,1
The Thomas Crown Affair ,1999,48000000,69304264,113,15,73068,6.8,English,USA,4660,0,0,0,0,1,1,0,0,0,1
Riding in Cars with Boys ,2001,48000000,29781453,132,12A,22447,6.4,English,USA,4796,0,0,0,0,0,0,1,1,1,0
Happily N'Ever After ,2006,47000000,15519841,75,PG,8693,4.5,English,USA,6863,0,1,1,0,0,0,1,1,0,0
Mary Reilly ,1996,47000000,5600000,108,15,11913,5.8,English,USA,8349,0,0,0,0,1,1,0,1,1,0
My Best Friend's Wedding ,1997,46000000,126805112,105,12A,98199,6.3,English,USA,12344,0,0,0,0,0,1,1,0,0,0
America's Sweethearts ,2001,48000000,93607673,102,12A,47573,5.7,English,USA,9176,0,0,0,0,0,1,1,0,0,0
Insomnia ,2002,46000000,67263182,118,15,218771,7.2,English,USA,15658,0,0,0,0,1,0,0,1,1,0
Star Trek: First Contact ,1996,45000000,92001027,111,12A,97838,7.6,English,USA,6315,1,1,0,1,1,0,0,0,1,0
Jonah Hex ,2010,47000000,10539414,81,12A,45729,4.7,English,USA,14619,1,0,1,0,1,0,0,1,1,0
Courage Under Fire ,1996,46000000,58918501,116,15,40126,6.6,English,USA,33233,1,0,0,0,1,0,0,1,1,0
Liar Liar ,1997,45000000,181395380,86,12A,220392,6.8,English,USA,2070,0,0,1,0,0,1,1,0,0,0
The Infiltrator ,2016,25000000,14946229,127,15,2581,7.3,English,UK,2104,0,0,0,0,1,0,0,1,1,1
The Flintstones ,1994,45000000,130512915,91,PG,60884,4.8,English,USA,3244,0,0,1,0,0,0,1,1,0,0
Taken 2 ,2012,45000000,139852971,98,12A,238671,6.3,English,France,16410,1,0,0,0,1,0,0,0,0,1
Scary Movie 3 ,2003,48000000,110000082,84,12A,111526,5.5,English,USA,3629,0,0,0,0,0,0,1,0,0,0
Miss Congeniality ,2000,45000000,106807667,109,12A,137377,6.2,English,USA,1574,1,0,0,0,0,1,1,0,0,1
Journey to the Center of the Earth ,2008,45000000,101702060,93,PG,85323,5.8,English,USA,17925,1,1,1,1,0,0,0,1,0,0
The Princess Diaries 2: Royal Engagement ,2004,40000000,95149435,113,U,53687,5.7,English,USA,15362,0,0,0,0,0,1,1,1,0,0
The Pelican Brief ,1993,45000000,100768056,141,12A,59569,6.5,English,USA,30063,0,0,0,0,1,0,0,1,1,1
The Client ,1994,45000000,92115211,119,12A,45798,6.7,English,USA,4043,0,0,0,0,1,0,0,1,1,1
The Bucket List ,2007,45000000,93452056,97,12A,184795,7.4,English,USA,14868,0,1,0,0,0,0,1,0,1,0
Patriot Games ,1992,45000000,83287363,117,15,81442,6.9,English,USA,12757,1,0,0,0,1,0,0,0,0,0
Monster-in-Law ,2005,60000000,82931301,101,12A,43358,5.5,English,Germany,6292,0,0,0,0,0,1,1,0,0,0
Prisoners ,2013,46000000,60962878,153,15,383591,8.1,English,USA,37321,0,0,0,0,1,0,0,1,1,1
Training Day ,2001,45000000,76261036,122,15,305929,7.7,English,USA,22370,0,0,0,0,1,0,0,0,1,1
Galaxy Quest ,1999,45000000,71423726,102,PG,123558,7.3,English,USA,26998,0,1,0,1,0,0,1,0,0,0
Scary Movie 2 ,2001,45000000,71277420,83,15,119590,5.2,English,USA,1645,0,0,0,0,0,0,1,0,0,0
The Muppets ,2011,45000000,88625922,103,PG,75176,7.1,English,USA,1336,0,1,0,0,0,0,1,1,0,0
Blade ,1998,45000000,70001065,110,15,191437,7.1,English,USA,3174,1,0,0,0,0,0,0,1,0,0
Coach Carter ,2005,30000000,67253092,136,12A,92702,7.2,English,USA,20299,0,0,0,0,0,0,0,1,1,0
Changing Lanes ,2002,45000000,66790248,91,15,57281,6.5,English,USA,758,0,0,0,0,1,0,0,0,1,0
Anaconda ,1997,45000000,65557989,89,12A,73539,4.6,English,USA,3717,1,1,0,0,1,0,0,1,0,0
Coyote Ugly ,2000,45000000,60786269,107,12A,90539,5.6,English,USA,3106,0,0,0,0,0,1,1,1,1,0
Love Actually ,2003,45000000,59365105,129,15,318634,7.7,English,UK,28886,0,0,0,0,0,1,1,0,1,0
A Bug's Life ,1998,120000000,162792677,95,U,211226,7.2,English,USA,24205,0,1,1,0,0,0,1,1,0,0
From Hell ,2001,35000000,31598308,122,15,124765,6.8,English,USA,41636,0,0,0,0,1,0,0,1,0,0
Tin Cup ,1996,45000000,53854588,135,15,37911,6.3,English,USA,3648,0,0,0,0,0,1,1,1,1,0
Kicking & Screaming ,2005,45000000,52580895,95,PG,30255,5.6,English,USA,27351,0,0,0,0,0,1,1,1,0,0
The Hitchhiker's Guide to the Galaxy ,2005,50000000,51019112,109,PG,155745,6.8,English,USA,14073,0,1,0,1,0,0,1,0,0,0
Fat Albert ,2004,26000000,48114556,93,PG,9380,4.3,English,USA,4604,0,0,1,0,0,1,1,1,0,0
Resident Evil: Extinction ,2007,45000000,50648679,94,15,149549,6.3,English,France,16225,1,0,0,1,1,0,0,1,0,0
Blended ,2014,40000000,46280507,117,12A,87165,6.5,English,USA,49743,0,0,0,0,0,1,1,0,0,0
Last Holiday ,2006,45000000,38360195,112,12A,21215,6.4,English,USA,3757,0,1,0,0,0,0,1,0,1,0
The River Wild ,1994,45000000,46815748,111,12A,32544,6.3,English,USA,12161,1,1,0,0,1,0,0,0,0,1
The Indian in the Cupboard ,1995,45000000,35617599,96,PG,20688,5.9,English,USA,2965,0,0,1,0,0,0,0,1,1,0
Savages ,2012,45000000,47307550,141,15,104301,6.5,English,USA,1948,0,0,0,0,1,0,0,0,1,1
Cellular ,2004,25000000,32003620,94,12A,79141,6.5,English,USA,1102,1,0,0,0,1,0,0,0,0,1
Johnny English ,2003,35000000,27972410,87,PG,114692,6.1,English,UK,1461,1,1,0,0,0,0,1,0,0,0
The Ant Bully ,2006,50000000,28133159,88,PG,30055,5.9,English,USA,33822,0,1,1,0,0,0,1,1,0,0
Dune ,1984,40000000,27400000,177,12A,97087,6.6,English,USA,2449,1,1,0,1,0,0,0,0,0,0
Across the Universe ,2007,45000000,24343673,133,12A,91860,7.4,English,USA,5405,0,0,1,0,0,1,0,1,1,0
Revolutionary Road ,2008,35000000,22877808,119,15,152591,7.3,English,USA,53895,0,0,0,0,0,1,0,0,1,0
16 Blocks ,2006,52000000,36883539,102,12A,112769,6.6,English,Germany,15053,1,0,0,0,1,0,0,0,1,1
Babylon A.D. ,2008,70000000,22531698,101,12A,81523,5.6,English,France,15990,1,1,0,1,1,0,0,0,0,0
The Glimmer Man ,1996,45000000,20400913,91,15,15455,5.3,English,USA,3855,1,0,0,0,1,0,1,0,1,1
Multiplicity ,1996,45000000,20101861,117,12A,24757,6,English,USA,2348,0,0,0,1,0,1,1,0,0,0
Aliens in the Attic ,2009,45000000,25200412,86,PG,16580,5.4,English,USA,3423,0,1,1,1,0,0,1,1,0,0
The Pledge ,2001,45000000,19719930,124,15,42621,6.8,English,USA,793,0,0,0,0,1,0,0,1,1,1
The Producers ,2005,45000000,19377727,134,12A,35140,6.4,English,USA,24351,0,0,0,0,0,0,1,1,0,0
Dredd ,2012,35000000,13401683,95,15,203461,7.1,English,UK,578,1,0,0,1,0,0,0,0,0,0
The Phantom ,1996,45000000,17300889,100,PG,27648,4.9,English,Australia,3855,1,1,1,0,0,0,1,0,0,0
All the Pretty Horses ,2000,57000000,15527125,220,12A,11388,5.8,English,USA,15006,0,0,0,0,0,1,0,1,1,0
Nixon ,1995,50000000,13560960,212,15,23996,7.1,English,USA,21130,0,0,0,0,0,0,0,1,1,0
The Ghost Writer ,2010,45000000,15523168,128,12A,132423,7.2,English,France,2507,0,0,0,0,1,0,0,1,0,0
Deep Rising ,1998,45000000,11146409,106,15,26551,6,English,USA,6558,1,1,0,1,0,0,0,1,0,0
Miracle at St. Anna ,2008,45000000,7916887,160,15,15697,6,English,USA,26982,1,0,0,0,1,0,0,1,1,1
Curse of the Golden Flower ,2006,45000000,6565495,114,15,36455,7,Mandarin,China,949,0,0,0,0,0,1,0,0,1,0
Bangkok Dangerous ,2008,40000000,15279680,99,15,48245,5.4,English,USA,12166,1,0,0,0,1,0,0,0,0,1
Big Trouble ,2002,40000000,7262288,74,12A,17307,6.5,English,USA,13917,0,0,0,0,1,0,1,0,0,1
Love in the Time of Cholera ,2007,45000000,4584886,139,15,19114,6.4,English,USA,538,0,0,0,0,0,1,0,0,1,0
Shadow Conspiracy ,1997,45000000,2154540,103,15,3803,4.9,English,USA,2457,1,0,0,0,1,0,0,0,0,0
Johnny English Reborn ,2011,45000000,8129455,101,PG,89568,6.3,English,USA,661,1,1,0,0,0,0,1,0,0,1
Argo ,2012,44500000,136019448,130,15,452465,7.7,English,USA,3133,0,0,0,0,1,0,0,1,1,0
The Fugitive ,1993,44000000,183875760,130,12A,213668,7.8,English,USA,13357,1,1,0,0,1,0,0,1,1,1
